City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Mandalgovi,MN,70.12,clear sky,45.7625,106.2708,В.Ганбат
368,Katsuura,JP,84.58,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
370,Vanderhoof,CA,72.7,scattered clouds,54.0166,-124.0198,Vanderhoof Inn
372,High Rock,BS,83.71,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
373,Yarada,IN,79.12,drizzle,17.65,83.2667,Yarada Jungle Beach Resorts
376,Atasu,KZ,70.43,moderate rain,48.6814,71.6433,Dostyk
381,Velyka Lepetykha,UA,75.2,clear sky,47.1757,33.9436,беседка для отдыха Островка
382,Digha,IN,83.95,heavy intensity rain,21.6833,87.55,Khoniker Atithi
384,Burevestnik,RU,65.95,few clouds,56.144,43.7883,Oreshkino
389,San Quintin,MX,73.45,scattered clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
390,Morshansk,RU,66.22,few clouds,53.4435,41.8107,Stambul Motel
398,Coahuayana,MX,78.49,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
407,Port Blair,IN,81.9,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
408,Dambulla,LK,78.76,overcast clouds,7.86,80.6517,Tinaya Treats
411,Inirida,CO,74.59,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
412,Santa Luzia,BR,68.9,scattered clouds,-19.7697,-43.8514,Pousada Chao Earth
414,Solnechnyy,RU,65.5,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
416,Sabha,LY,80.92,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
417,Itupiranga,BR,77.32,scattered clouds,-5.1347,-49.3267,Hotel Panorama
418,Griffith,US,79.05,overcast clouds,41.5284,-87.4237,Apartment above Depot Bar
419,San Policarpo,PH,83.7,broken clouds,12.1791,125.5072,Agapita M. Nicart
420,Mount Isa,AU,73.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
421,Kurchum,KZ,76.73,few clouds,48.5722,83.6542,"""Kneda"" Hotel"
423,Kilindoni,TZ,75.4,scattered clouds,-7.9139,39.6668,Bustani B&B
425,Bluefield,US,70.39,clear sky,37.2698,-81.2223,Economy Inn
426,Barcelos,PT,65.91,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
427,Alofi,NU,76.91,clear sky,-19.0595,-169.9187,Taloa Heights
428,Salinopolis,BR,78.37,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
431,Mayumba,GA,66.97,broken clouds,-3.432,10.6554,LIKWALE LODGE
432,Labuhan,ID,84.72,few clouds,-6.8844,112.2051,DoubleFAG
435,Rayong,TH,81.28,moderate rain,12.8333,101.4333,Suan Palm Garden View Hotel
436,Chapaevsk,RU,70.14,scattered clouds,52.9813,49.7112,Olimp
438,Am Timan,TD,70.38,light rain,11.0297,20.2827,Palais du chef Canton Salamt
439,Bonavista,CA,66.38,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
445,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
449,Teguise,ES,66.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
450,Saint-Georges,GD,80.26,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
452,Chake Chake,TZ,70.81,light rain,-5.2459,39.7666,Hotel Archipelago
453,Semey,KZ,71.82,clear sky,50.4111,80.2275,Grand Hotel Semey
456,Bay Roberts,CA,69.15,overcast clouds,47.5999,-53.2648,Stonewall Inn
457,Samarai,PG,81.25,scattered clouds,-10.6167,150.6667,Nuli Sapi
459,Tortoli,IT,77.27,clear sky,39.9256,9.6572,Hotel La Bitta
461,Prince George,CA,76.62,few clouds,53.9166,-122.753,Canadas Best Value Inn Prince George
462,Sulangan,PH,82.2,overcast clouds,11.1373,123.7228,Maia's Beach Resort
465,Daoukro,CI,67.82,broken clouds,7.0591,-3.9631,Komenan brou roseline
466,Windsor,CA,80.11,overcast clouds,42.3001,-83.0165,Detroit Marriott at the Renaissance Center
467,Sofiyivka,UA,68.23,clear sky,48.0493,33.8746,"Гостиница ""Софиянка"""
468,San Jose,US,72.28,clear sky,37.3394,-121.895,The Westin San Jose
469,Jerantut,MY,81.97,overcast clouds,3.936,102.3626,Jerantut Hill Resort
470,Muli,MV,81.41,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
471,Faanui,PF,76.51,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
473,Puerto Baquerizo Moreno,EC,68.38,broken clouds,-0.9,-89.6,Hotel los Algarrobos
474,Hambantota,LK,80.49,overcast clouds,6.1241,81.1185,Bungalow 63
475,Inhambane,MZ,67.95,clear sky,-23.865,35.3833,Oceano
476,Nicoya,CR,75.09,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
478,Westport,US,82.22,clear sky,41.1415,-73.3579,The Westport Inn
480,Presidente Olegario,BR,67.05,clear sky,-18.4178,-46.4181,Cruzeiro Hotel
481,Tomakivka,UA,69.58,clear sky,47.8157,34.7414,"Спорткомплекс ""Витацентр"""
483,Srivardhan,IN,78.12,moderate rain,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
484,Rochester,US,81.63,broken clouds,43.1548,-77.6156,Hyatt Regency Rochester
485,Vanimo,PG,82.22,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
490,Port Moresby,PG,84.16,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
494,Maitum,PH,82.08,overcast clouds,6.0392,124.4986,Pearl Garden
501,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
502,Tevaitoa,PF,76.26,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
506,Payyannur,IN,78.96,overcast clouds,12.1,75.2,Kavvayi Beach House
508,Sabang,ID,82.02,overcast clouds,5.8933,95.3214,Hotel Citra
510,San Carlos,VE,73.06,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
512,Tomatlan,MX,77.11,overcast clouds,19.9333,-105.25,El Salvial
514,Lufilufi,WS,79.45,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
516,Rexburg,US,76.51,clear sky,43.826,-111.7897,AmericInn by Wyndham Rexburg BYUI
518,Jalu,LY,77.54,clear sky,29.0331,21.5482,صاحبة الفخامة
519,Aquiraz,BR,80.69,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
521,Liku,ID,82.81,light rain,-0.7275,119.8922,Kost annisa
523,Yulara,AU,68.27,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
525,Krasnovishersk,RU,68.36,broken clouds,60.4078,57.082,Vishera hotel
526,Noumea,NC,78.78,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
527,Toamasina,MG,65.71,scattered clouds,-18.1667,49.3833,Hotel H1
528,Tarakan,ID,83.7,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
529,Wainwright,CA,65.14,clear sky,52.839,-110.8572,Ramada by Wyndham Wainwright
530,Rincon,US,81.86,scattered clouds,32.296,-81.2354,Days Inn Rincon
533,Ghogha,IN,82.51,haze,21.6833,72.2833,"GUEST HOUSE,GHOGHA"
534,Aktanysh,RU,72.01,broken clouds,55.7216,54.0829,"Gostinitsa ""Aktanysh"""
536,Piripiri,BR,71.91,clear sky,-4.2733,-41.7769,Califórnia Hotel
537,Wilmington,US,81.86,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
539,Los Llanos De Aridane,ES,65.95,scattered clouds,28.6585,-17.9182,Valle Aridane
543,Sibolga,ID,83.93,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
547,Uhlove,UA,71.73,clear sky,44.8215,33.6045,Tavryda
548,Safford,US,81.1,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
549,Kitimat,CA,69.91,few clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
551,Banda Aceh,ID,83.95,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
555,Namatanai,PG,82.62,light rain,-3.6667,152.4333,Seagulls Inn Namatani
557,Gourcy,BF,79.97,broken clouds,13.2167,-2.35,Auberge Gourcy
558,Yarovoye,RU,68.52,few clouds,52.9273,78.58,KirOFF Park
560,Sumbe,AO,67.57,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
561,Torrington,US,77.76,few clouds,41.8007,-73.1212,The Yankee Pedlar Inn
562,Nguru,NG,78.19,light rain,12.8791,10.4526,Government Lodge
563,Coffs Harbour,AU,66.16,scattered clouds,-30.3,153.1333,Aquajet Motel
564,Gorontalo,ID,83.84,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
565,Belle Fourche,US,72.45,clear sky,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
566,Magadan,RU,67.53,overcast clouds,59.5667,150.8,Magadan hotel
569,Puerto Madero,MX,77.2,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
571,Celestun,MX,75.04,overcast clouds,20.8667,-90.4,Posada Lilia
572,Dhidhdhoo,MV,80.53,overcast clouds,6.8833,73.1,Dhidhoo beach
573,Piacabucu,BR,72.7,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
574,Takoradi,GH,75.31,broken clouds,4.8845,-1.7554,Raybow International Hotel
575,Alta Floresta,BR,74.08,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
581,Baiyin,CN,81.28,broken clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
582,Mitsamiouli,KM,75.07,clear sky,-11.3847,43.2844,Foyer ADM
583,Olovyannaya,RU,66.33,clear sky,50.95,115.5667,Gostinitsa
586,Linxia,CN,80.94,broken clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
587,Fairborn,US,79.25,scattered clouds,39.8209,-84.0194,Hope Hotel & Richard C. Holbrooke Conference Center
592,Paka,MY,84.02,moderate rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
593,Dawlatabad,AF,84.34,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
595,Moussoro,TD,79.39,broken clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
596,Coolum Beach,AU,70.34,clear sky,-26.5333,153.1,Coolum Beach Resort
597,Bardiyah,LY,77.41,clear sky,31.7561,25.0865,بورتو بردية
598,Cukai,MY,83.28,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
600,Belyy Yar,RU,67.86,clear sky,53.6039,91.3903,Pasportnyy Stol
601,Hervey Bay,AU,68.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
602,Impfondo,CG,70.05,broken clouds,1.6381,18.0667,Auberge La Place de Jules
603,Zlobin,HR,70.9,clear sky,45.2924,14.6541,Hotel Bitoraj Fuzine
605,Oussouye,SN,74.8,light rain,12.485,-16.5469,Auberge du Routard
608,Mabaruma,GY,74.8,broken clouds,8.2,-59.7833,Monty Brooms Guest House
612,Kalmunai,LK,81.55,overcast clouds,7.4167,81.8167,VS Villa
616,Pasco,US,79.05,broken clouds,28.292,-82.4165,Connection Community/Park
618,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
619,Buala,SB,82.67,light rain,-8.145,159.5921,Maringe Lagoon Lodge
621,Palu,ID,84.31,moderate rain,-0.8917,119.8707,Hotel Santika Palu
622,Saint Anthony,US,66.49,moderate rain,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
625,Rawah,IQ,83.79,clear sky,34.4816,41.9093,بيت سميع
626,Arboletes,CO,79.0,overcast clouds,8.8505,-76.4269,Hotel Playa Star
629,Xining,CN,79.81,few clouds,36.6167,101.7667,Super Leisure Hotel
634,Yeppoon,AU,69.58,clear sky,-23.1333,150.7333,Villa Mar Colina
636,Upata,VE,75.2,scattered clouds,8.0086,-62.3989,Posada Villa Nela
637,Havelock,US,84.18,clear sky,34.8791,-76.9013,Sherwood Motel
638,Erie,US,79.02,overcast clouds,42.7667,-78.6664,Roycroft Inn
640,Santa Quiteria,BR,72.81,clear sky,-4.3319,-40.1567,Tahen Hotel
641,Saint Pete Beach,US,82.02,clear sky,27.7253,-82.7412,Sirata Beach Resort
642,Kenitra,MA,72.36,scattered clouds,34.261,-6.5802,Bienvenue chez vous
644,Colon,PA,79.45,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
645,Odweyne,SO,69.1,broken clouds,9.4092,45.064,Eng Hiirey House
649,Colares,PT,66.76,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
650,Sudak,UA,74.61,clear sky,44.85,34.9667,Solari Beach
655,Omboue,GA,70.97,overcast clouds,-1.5746,9.2618,Hotel Olako
656,Darlawn,IN,74.8,light rain,24.0167,92.9,BNRGSK BUILDING
657,Pyapon,MM,76.37,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
658,Progreso,MX,76.1,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
661,Alyangula,AU,80.65,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
662,Presidente Medici,BR,79.29,broken clouds,-11.1753,-61.9014,Oliveira Palace Hotel
663,Zhangye,CN,80.37,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
666,Gazli,UZ,83.84,clear sky,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
668,Mamallapuram,IN,84.25,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
671,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
672,Miracema Do Tocantins,BR,80.56,broken clouds,-9.5618,-48.3967,Miami Apart Hotel
673,Monrovia,LR,75.63,overcast clouds,6.3005,-10.7969,Sunset Inn
677,South Lake Tahoe,US,80.49,overcast clouds,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
678,Tazmalt,DZ,76.12,clear sky,36.3868,4.3989,Hôtel Numédia
683,Cabedelo,BR,70.47,clear sky,-6.9811,-34.8339,Pousada Camboinha
686,Regina,CA,73.04,scattered clouds,50.4501,-104.6178,Wingate by Wyndham Regina
